Model,Encoding,Tuned,accuracy,roc_auc,f1_score
Gradient Boosting,label,True,1.0,1.0,1.0
Gradient Boosting,label,False,1.0,1.0,1.0
Random Forest,ohe,True,1.0,1.0,1.0
Gradient Boosting,ohe,True,1.0,1.0,1.0
Random Forest,ohe,False,1.0,1.0,1.0
Gradient Boosting,ohe,False,1.0,1.0,1.0
LightGBM,label,True,0.9995,0.999998941546929,0.9995953055443141
XGBoost,label,False,0.9995,0.9999978830938584,0.9995953055443141
LightGBM,label,False,0.9995,0.9999978830938584,0.9995953055443141
LightGBM,ohe,True,0.9995,0.9999978830938583,0.9995953055443141
LightGBM,ohe,False,0.9995,0.9999968246407875,0.9995953055443141
XGBoost,label,True,0.9995,0.9999968246407874,0.9995953055443141
XGBoost,ohe,False,0.9995,0.9999968246407874,0.9995953055443141
Random Forest,label,True,0.9985,0.9999851816570083,0.9987859166329421
XGBoost,ohe,True,0.9995,0.9999841232039375,0.9995953055443141
Random Forest,label,False,0.9985,0.9999661295017334,0.9987849331713244
Logistic Regression,ohe,True,0.9925,0.9997417374507158,0.9939246658566221
Logistic Regression,ohe,False,0.982,0.9988113572014501,0.9854251012145749
Logistic Regression,label,True,0.88,0.9309846259691462,0.9048374306106265
Logistic Regression,label,False,0.88,0.9309560477362336,0.9048374306106265
